Histidine	156.0768	C6H9N3O2
Phenylalanine	166.0863	C9H11NO2
Arginine	175.119	C6H14N4O2
Aspartic Acid	134.0448	C4H7NO4
Glutamic Acid	148.0604	C5H9NO4
Iso/Leucine	132.1019	C6H13NO2
Lysine	147.1128	C6H14N2O2
Methionine	150.0583	C5H11NO2S
Proline	116.0706	C5H9NO2
Serine	106.0499	C3H7NO3
Threonine	120.0655	C4H9NO3
Tyrosine	182.0812	C9H11NO3
Valine	118.0863	C5H11NO2
Alanine	90.055	C3H7NO2
